encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,encoder_block_types,decoder_block_types,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
512,6,1621.333333,3.666666667,512,6,1194.666667,6,3.666666667,1.333333333,lightweight_conv-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->lightweight_conv-->lightweight_add-->,lightweight_add-->self_attention-->self_attention-->lightweight_shiftadd-->lightweight_shiftadd-->lightweight_shiftadd-->,4.424287975,170.6418028,0.010858359,4.54075683
512,6,1962.666667,4.666666667,512,3,1194.666667,4.666666667,6,2.666666667,lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_conv-->self_attention+lightweight_conv-->lightweight_conv-->self_attention+lightweight_conv-->,lightweight_add-->lightweight_add-->lightweight_shiftadd-->,5.101247996,84.20439005,0.004432283,0.111222988
512,6,2048,3.666666667,640,3,1024,6.666666667,6,2,self_attention-->self_attention-->lightweight_shiftadd-->lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->,lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->,4.955666035,111.4498582,0.007938293,4.763585579
640,6,1194.666667,5,512,5,1638.4,6.4,3.2,2,self_attention+lightweight_conv-->lightweight_conv-->self_attention+lightweight_add-->lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,lightweight_conv-->self_attention-->lightweight_add-->lightweight_add-->self_attention+lightweight_shiftadd-->,5.55229795,153.4466829,0.010404815,4.690262267
640,6,1109.333333,4.666666667,512,2,1536,5,3,2.5,lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_conv-->lightweight_conv-->lightweight_shiftadd-->self_attention-->,self_attention-->lightweight_add-->,4.505421966,59.78547597,0.004578758,0.086644255
512,6,1194.666667,3.666666667,640,6,2304,5.666666667,3.666666667,2.166666667,self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_conv-->lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_add-->,self_attention-->lightweight_shiftadd-->self_attention-->lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_add-->,5.20766601,200.4318991,0.007933274,6.595400816
640,6,2389.333333,5.333333333,512,1,3072,4,2,1,lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->lightweight_add-->lightweight_shiftadd-->lightweight_conv-->,self_attention+lightweight_conv-->,5.41535601,46.73972607,0.464707998,0.150377189
640,6,1536,3.666666667,512,6,1365.333333,3,5,2.166666667,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->,self_attention+lightweight_conv-->lightweight_shiftadd-->self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->,5.739441961,229.511714,0.025515701,6.398534387
512,6,853.3333333,5,640,6,1962.666667,3.666666667,4.666666667,2.166666667,self_attention-->lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_add-->lightweight_shiftadd-->lightweight_add-->,self_attention+lightweight_add-->self_attention-->self_attention+lightweight_add-->lightweight_conv-->self_attention+lightweight_conv-->lightweight_add-->,5.421755999,203.3879175,0.356934173,5.177467318
640,6,1450.666667,3.666666667,640,4,2304,2.5,4.5,2,lightweight_shiftadd-->lightweight_add-->self_attention-->lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_conv-->,lightweight_conv-->lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,4.532675982,132.0098619,0.008069194,4.640510205
640,6,1962.666667,3.666666667,512,4,1152,4,5.5,2.5,self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention-->lightweight_shiftadd-->self_attention-->lightweight_shiftadd-->,self_attention-->self_attention+lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,5.137786031,152.8439159,0.017699544,1.820269265
512,6,1450.666667,4.333333333,640,1,2048,8,4,2,self_attention+lightweight_conv-->lightweight_add-->lightweight_add-->lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_add-->,lightweight_conv-->,5.221282005,31.38829803,0.422174332,0.748150532
512,6,1280,3.333333333,640,2,2560,6,5,2,lightweight_conv-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention-->,self_attention+lightweight_conv-->lightweight_shiftadd-->,4.994570017,75.94189024,0.009092124,0.064435344
640,6,1450.666667,4,640,4,1280,5,4.5,1.75,self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_add-->lightweight_conv-->lightweight_add-->,lightweight_conv-->lightweight_conv-->self_attention-->self_attention-->,5.011508048,109.6929617,0.01041328,3.707249552
512,6,1877.333333,2.666666667,512,4,512,4,4.5,2.25,lightweight_add-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_add-->lightweight_add-->lightweight_add-->,self_attention+lightweight_conv-->self_attention+lightweight_conv-->self_attention-->lightweight_shiftadd-->,4.548509985,145.4526758,0.005102655,4.754870623
512,6,2133.333333,6,512,3,1194.666667,2.666666667,2.666666667,2,lightweight_add-->lightweight_conv-->lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention-->,self_attention+lightweight_add-->lightweight_conv-->lightweight_conv-->,4.788214028,96.59144306,0.010837083,5.069265962
640,6,2218.666667,4.333333333,512,3,2048,3.333333333,4.666666667,1.666666667,lightweight_shiftadd-->lightweight_conv-->self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_add-->,lightweight_conv-->lightweight_conv-->self_attention-->,5.220286012,80.29278183,0.008501189,0.29952458
640,6,1706.666667,3,512,6,1621.333333,4.666666667,3.666666667,1.333333333,self_attention+lightweight_add-->self_attention+lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_add-->self_attention-->lightweight_conv-->,lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention-->lightweight_add-->,5.222506076,196.515954,0.018041272,5.286410253
512,6,1962.666667,5,512,5,1740.8,4.4,5.2,2.4,self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention-->lightweight_conv-->self_attention+lightweight_add-->,lightweight_conv-->lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,6.403104007,198.0376034,0.025800459,6.140720232
640,6,1621.333333,3,512,6,1962.666667,4.666666667,5.666666667,2.333333333,lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention-->lightweight_add-->,self_attention+lightweight_conv-->lightweight_add-->lightweight_shiftadd-->self_attention-->self_attention+lightweight_conv-->lightweight_shiftadd-->,5.492563963,201.6343727,0.42166658,4.81979287
512,6,1706.666667,5.333333333,512,4,640,4.5,8,2,lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_conv-->,lightweight_shiftadd-->lightweight_conv-->lightweight_add-->self_attention+lightweight_shiftadd-->,5.883827984,131.2649355,0.014041927,5.022433743
512,6,1962.666667,3.666666667,512,6,1194.666667,3.666666667,5.666666667,2.5,lightweight_shiftadd-->lightweight_conv-->lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_add-->self_attention+lightweight_add-->,self_attention+lightweight_conv-->lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_add-->self_attention-->lightweight_conv-->,4.866417974,193.2322769,0.005042539,4.965941279
512,6,1536,4.666666667,640,4,1920,6,2,2.25,self_attention-->self_attention-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_add-->lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->lightweight_add-->self_attention+lightweight_add-->lightweight_shiftadd-->,5.120299965,148.140975,0.007470271,4.573425705
512,6,1792,4,512,4,2176,6.5,6.5,2,self_attention+lightweight_conv-->lightweight_shiftadd-->self_attention-->self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->,lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_add-->,5.552427977,159.4091654,0.007596923,4.181362633
512,6,1109.333333,3,512,3,1536,4,2.666666667,1.333333333,lightweight_conv-->lightweight_shiftadd-->lightweight_conv-->lightweight_add-->self_attention+lightweight_shiftadd-->self_attention-->,self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->,4.532096028,116.7173462,0.007731349,4.572853217
640,6,1792,5,512,5,1024,4,4.4,1.8,self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->,lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,5.464050025,186.6908627,0.012421232,1.302437957
512,6,2304,3,640,5,1638.4,5.2,4.4,1.4,self_attention+lightweight_add-->lightweight_add-->self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->,self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_conv-->lightweight_add-->self_attention-->,6.735673994,179.3105431,0.022436499,7.63195683
512,6,1536,4,512,6,1365.333333,3.333333333,5.333333333,1.833333333,self_attention+lightweight_add-->lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_conv-->,lightweight_add-->self_attention+lightweight_add-->lightweight_add-->lightweight_add-->lightweight_add-->lightweight_add-->,5.584713966,166.0192947,0.028240339,6.307905233
512,6,1280,2.666666667,512,1,1024,2,8,2,lightweight_conv-->self_attention+lightweight_conv-->lightweight_shiftadd-->lightweight_add-->lightweight_add-->lightweight_shiftadd-->,self_attention-->,5.778448045,35.9652195,0.052867581,0.457520575
512,6,1621.333333,4.333333333,512,4,1664,7,4,2,lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_add-->self_attention+lightweight_add-->lightweight_add-->,self_attention-->lightweight_add-->self_attention+lightweight_conv-->lightweight_conv-->,5.088400006,124.8045235,0.016908564,5.444310136
640,6,938.6666667,5,640,3,853.3333333,2,2.666666667,2.333333333,lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_add-->lightweight_conv-->lightweight_shiftadd-->lightweight_shiftadd-->,lightweight_conv-->self_attention-->lightweight_shiftadd-->,5.043769985,89.19864368,0.005406758,0.788784073
640,6,1280,5,512,4,1152,4,3,2.5,lightweight_shiftadd-->lightweight_add-->lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->,5.52937603,153.5542898,0.013051256,4.539626715
512,6,1621.333333,5,512,1,1024,8,2,2,lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_add-->lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->,lightweight_shiftadd-->,5.325602025,37.15456605,0.011907963,0.11581805
