encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,encoder_block_types,decoder_block_types,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
768,6,2389.3333333333335,9.333333333333334,768,2,2048.0,4.0,16.0,1.0,self_attention+lightweight_add-->self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->,self_attention+lightweight_shiftadd-->self_attention-->,6.492607921361923,84.153151512146,0.006404839377692133,0.18173377410840527
768,6,2730.6666666666665,10.666666666666666,1024,3,2730.6666666666665,5.333333333333333,12.0,2.3333333333333335,self_attention+lightweight_conv-->lightweight_shiftadd-->lightweight_conv-->lightweight_shiftadd-->lightweight_add-->lightweight_conv-->,self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->,4.751744031906128,140.99519729614258,0.013414395532645508,0.2334771733960007
1024,6,2560.0,10.0,768,2,2048.0,4.0,6.0,3.0,self_attention+lightweight_add-->lightweight_add-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,self_attention-->self_attention+lightweight_shiftadd-->,5.966272056102753,87.1811203956604,0.005106765616091345,0.09396211087779104
768,6,3242.6666666666665,10.0,1024,5,1638.4,12.0,12.8,2.2,self_attention-->self_attention-->lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->lightweight_conv-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,5.032320022583008,232.50739192962646,0.009107824718541805,0.34357366933734984
1024,6,1706.6666666666667,5.333333333333333,1024,6,1536.0,6.666666666666667,8.666666666666666,1.5,lightweight_conv-->lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_conv-->self_attention+lightweight_conv-->,self_attention-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention-->,4.993536025285721,233.76748847961426,0.005573548738094162,0.3512389267659369
512,6,2560.0,10.0,512,6,2218.6666666666665,9.333333333333334,8.0,2.0,lightweight_shiftadd-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->self_attention-->self_attention+lightweight_add-->lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_shiftadd-->self_attention-->,5.6874880194664,248.8464641571045,0.006765619677785119,0.28656212944459614
768,6,2218.6666666666665,11.333333333333334,768,4,2048.0,8.0,6.0,2.5,lightweight_shiftadd-->self_attention+lightweight_add-->self_attention-->self_attention+lightweight_add-->lightweight_add-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,5.874495983123779,176.35935974121094,0.02642929592296242,0.3937324970913989
1024,6,3925.3333333333335,7.333333333333333,1024,6,2389.3333333333335,9.333333333333334,6.666666666666667,1.8333333333333333,self_attention+lightweight_add-->lightweight_add-->self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->,6.237951993942261,281.08032035827637,0.0384792852548037,0.30882040329919813
1024,6,1024.0,9.333333333333334,1024,5,1433.6,12.8,8.0,1.8,self_attention+lightweight_conv-->self_attention+lightweight_conv-->lightweight_add-->lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_conv-->,self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->,5.47980797290802,218.3946237564087,0.038598956908442596,0.40445329543246117
1024,6,2218.6666666666665,9.333333333333334,768,1,2048.0,16.0,4.0,1.0,self_attention+lightweight_add-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,self_attention-->,6.198784053325653,37.066752195358276,0.011635992660190083,0.07815785738870012
